FE/H,C/H,MG/H,NA/H,AL/H,cluster
-1.31240,-1.58605,-1.28599,-1.80146,-0.45095,0
-1.30293,-1.42444,-1.15034,-0.96035,-0.40434,0
-1.59910,-1.55392,-1.46436,-2.43268,-1.14205,0
-1.36973,-1.63094,-1.20725,-1.51731,-0.90525,0
-1.37029,-1.69978,-1.28574,-1.27543,-0.85427,0
-1.16246,-1.43753,-1.08966,-0.93547,-0.23170,0
-1.36939,-1.57415,-1.28427,-1.08352,-0.93522,0
-1.23529,-1.65708,-1.18741,-1.28264,-0.34948,0
-1.37899,-1.97896,-1.31364,-2.19408,-0.95512,0
-1.36154,-1.84014,-1.29980,-1.38077,-0.60421,0
-1.43299,-1.65754,-1.38389,-1.58596,-1.97332,0
-1.32594,-1.85748,-1.18951,-1.55750,-0.82241,0
-1.46138,-1.84132,-1.37508,-1.66120,-1.60319,0
-1.60378,-2.38642,-1.61270,-2.03494,-1.60802,0
-1.45900,-1.91449,-1.38758,-2.12334,-0.92568,0
-1.50699,-1.94313,-1.43146,-1.67081,-1.74043,0
-1.36125,-1.85780,-1.23439,-1.19576,-0.90072,0
-1.39006,-1.82182,-1.21616,-1.10700,-0.89297,0
-1.47092,-1.85527,-1.33901,-2.11524,-1.74671,0
-1.45652,-1.83864,-1.35612,-1.72209,-1.39328,0
-0.30082,-0.18057,-0.12556,-0.19290,0.04735,1
-0.08673,-0.03084,0.12394,-0.08152,0.15281,1
0.04943,0.07049,0.14921,0.06447,0.27955,1
-0.54307,-0.37874,-0.30040,-0.31727,-0.19102,1
-0.37154,-0.22096,0.02786,-0.54115,0.09593,1
-0.65818,-0.52232,-0.37722,-0.18412,-0.22275,1
-0.26113,-0.15483,-0.01426,0.07550,-0.33085,1
-0.81501,-0.37921,-0.04854,0.42266,-0.43235,1
0.08780,0.08052,0.09408,0.15408,0.23910,1
-0.35811,-0.21280,-0.18001,-0.12022,0.05495,1
-0.94837,-0.53566,-0.61179,-0.62814,-0.57520,1
-0.32195,-0.26280,-0.07189,0.02936,0.06001,1
-0.56299,-0.42236,-0.32263,-0.33557,-0.17849,1
-0.97082,-1.10999,-0.40993,-1.77604,-1.09789,1
-0.39676,-0.26008,-0.23350,-0.34584,-0.11385,1
-0.12465,-0.10911,0.04248,-0.04298,0.08758,1
-0.33903,-0.30928,-0.32753,-0.35611,-0.13789,1
-0.46132,-0.29324,-0.23663,-0.23174,-0.26153,1
-0.67218,-0.75131,-0.60640,-1.01766,-0.70059,1
-0.23920,-0.09141,-0.08667,-0.17776,0.06019,1
0.16857,0.13909,0.26261,0.17664,0.36958,1
-0.54594,-0.36479,-0.32396,-0.56267,-0.26250,1
-0.24469,-0.08091,-0.11399,-0.22759,-0.07014,1
-0.22048,-0.15462,0.00323,-0.27651,0.40430,1
-0.39358,-0.30071,-0.12458,-0.19455,-0.04283,1
0.15837,0.11973,0.18544,0.18496,0.37652,1
-0.06890,-0.01678,-0.01160,-0.05536,0.15964,1
-0.39550,-0.02878,-0.11867,-0.37377,-0.08404,1
-0.30944,-0.33623,-0.23792,-0.21471,-0.20240,1
-0.54081,-0.46417,-0.41203,-1.03977,-0.24012,1
-0.34922,-0.36367,-0.28819,-0.27083,-0.23059,1
0.14649,0.16992,0.17463,0.15112,0.21690,1
-0.02212,0.10079,0.01850,-0.01959,0.10252,1
0.03713,0.01077,0.04166,0.00576,0.15836,1
-0.61064,-0.57252,-0.37176,-0.56830,-0.25294,1
0.13596,0.14927,0.12142,0.08089,0.23754,1
-0.52578,-0.40894,-0.10071,-0.33567,-0.04858,1
-0.44321,-0.25053,-0.20846,-0.82691,-0.46454,1
-0.49368,-0.39575,-0.22742,-0.24383,-0.48344,1
-0.43277,-0.42603,-0.19937,-0.32755,-0.01371,1
-0.70288,-0.51645,-0.53874,-0.48379,-0.42120,1
-0.53565,-0.49335,-0.33955,-0.10548,-0.32774,1
-0.34741,-0.19246,-0.12230,-0.99346,0.12369,1
-0.46780,-0.38035,-0.31153,-0.38052,-0.21795,1
-0.22695,-0.19190,-0.11476,-0.20048,0.00067,1
0.15446,0.15149,0.14891,0.07601,0.21757,1
-0.50742,-0.41415,-0.25015,-0.11275,-0.43052,1
0.09090,-0.01242,0.07259,-0.06089,0.16720,1
-0.12188,-0.18729,-0.00723,-0.13020,0.08780,1
-0.56071,-0.45822,-0.35624,-0.33336,-0.15671,1
-0.52572,-0.42385,-0.36811,-1.12913,-0.18201,1
-0.27011,-0.35211,-0.25470,-0.52785,-0.08527,1
-0.27111,-0.19985,-0.08784,-0.25822,0.13583,1
-0.16249,-0.03605,-0.05137,-0.06762,0.00449,1
-0.58590,-0.49796,-0.40418,-0.67673,-0.43954,1
-0.59198,-0.49981,-0.35649,-0.65836,-0.35856,1
-0.23942,-0.16914,-0.07867,-0.76353,-0.69260,1
-0.68997,-0.69217,-0.47147,-0.73612,-0.38281,1
-0.70952,-0.63607,-0.58403,-0.96072,-0.71704,1
-0.64250,-0.43730,-0.40937,-0.61203,-0.41255,1
-0.53736,-0.40417,-0.34311,-0.65041,-0.29029,1
-0.49469,-0.23583,-0.26377,-2.34286,-0.17775,1
-0.53105,-0.49586,-0.33790,-0.30304,-0.15656,1
-0.16535,0.00292,-0.00661,0.02818,0.35359,1
-0.44233,-0.36291,-0.24443,-0.43400,-0.14911,1
0.07546,0.06687,0.16405,0.09897,0.39842,1
-0.31834,-0.14965,-0.12195,-0.43868,-0.06130,1
-0.67854,-0.58535,-0.50470,-0.60514,-0.33572,1
-0.49837,-0.48447,-0.35877,-0.21047,-0.19850,1
-0.54526,-0.28100,-0.25452,-0.41459,-0.19046,1
-0.23082,-0.10892,-0.11105,-0.38571,-0.07937,1
-0.33786,-0.28937,-0.14513,-0.36141,-0.00156,1
-0.55401,-0.51131,-0.36669,0.11564,-0.38841,1
0.13816,0.16411,0.12977,0.07490,0.19283,1
-0.01543,-0.11758,-0.01567,-0.16997,0.08738,1
-0.26923,-0.18660,-0.13105,-0.05048,-0.02018,1
-0.85215,-0.58041,-0.59660,-0.97013,-0.52911,1
-0.49477,-0.43102,-0.33524,-0.59775,-0.24850,1
-0.15739,-0.00095,-0.02392,-0.06179,0.03507,1
-0.45193,-0.39998,-0.31174,-0.46436,-0.19070,1
-1.43560,-1.52121,-1.16763,-1.01739,-1.44237,1
-0.22215,-0.11590,-0.07898,-0.31610,0.06015,1
-0.13045,-0.04206,0.06191,0.00371,0.11760,1
-0.33666,-0.23625,-0.07829,-0.76068,0.34529,1
-0.57998,-0.43299,-0.34297,-0.50932,-0.29532,1
-0.13036,-0.13388,-0.02406,-0.67717,0.14137,1
0.06768,0.04130,0.06814,-0.05941,0.25016,1
-0.01905,0.03256,0.07861,-0.04310,0.34264,1
-0.52717,-0.47802,-0.35596,-0.29892,-0.18969,1
0.05026,-0.00796,0.01075,-0.06816,0.16482,1
-0.24242,-0.19748,-0.04730,-0.23250,0.14291,1
-0.55727,-0.50862,-0.39697,-0.40016,-0.28508,1
-0.67596,-0.66898,-0.44364,-0.06673,0.01989,1
0.18213,0.03486,0.14254,0.16499,0.17235,1
-0.73087,-0.69776,-0.55234,-0.71626,-0.53282,1
-1.48075,-1.75765,-1.36053,-1.76463,-1.61398,1
0.17504,0.09159,0.16238,0.15623,0.31997,1
-1.16516,-1.51658,-0.95846,-1.46464,-1.26530,1
0.07956,-0.02903,0.05946,0.08789,0.22597,1
0.18454,0.15083,0.15169,0.24959,0.25498,1
-0.41979,-0.24002,-0.14851,-0.31390,0.00927,1
-0.70371,-0.76053,-0.62491,-0.66296,-0.57684,1
-1.56370,-2.08261,-1.57356,-1.86220,-1.57654,1
-1.21780,-1.59209,-1.17027,-1.00667,-0.36053,1
-0.56457,-0.66211,-0.41043,-0.58917,-0.22804,1
-1.61860,-2.08252,-1.51902,-1.76377,-1.86044,1
-1.48210,-1.62297,-1.39513,-1.13628,-0.86283,1
-1.54037,-1.43476,-1.25207,-1.02895,-1.20122,1
-1.53411,-1.73493,-1.31087,-1.22496,-1.39504,1
-0.61113,-0.65235,-0.58811,-0.92554,-0.76341,1
-1.39529,-1.78912,-1.30381,-1.09745,-0.98669,1
-1.24283,-1.45524,-1.09022,-1.75052,-0.36126,1
-1.22908,-1.73396,-1.12234,-0.99894,-0.37735,1
-1.30696,-1.71473,-1.21768,-1.46575,-0.67548,1
-1.37638,-1.75228,-1.28328,-1.65890,-0.99214,1
-1.44441,-1.70690,-1.39226,-1.66361,-1.42973,1
-1.29269,-1.72101,-1.21041,-1.30473,-0.46581,1
-1.45530,-1.47219,-1.26155,-2.05633,-1.63919,1
-1.47045,-1.84541,-1.41679,-1.49005,-1.74286,1
-1.38944,-1.83565,-1.33452,-1.76726,-1.13524,1
-0.67214,-0.58119,-0.44348,-0.85461,-0.44760,1
-1.35072,-1.71441,-1.29620,-1.32455,-0.63696,1
-1.41368,-1.74056,-1.31587,-0.93330,-1.05519,1
-1.35435,-1.41158,-1.40742,-1.17268,-0.39607,1
-1.37579,-1.67189,-1.31463,-0.99871,-0.89391,1
-1.39794,-1.14520,-1.30743,-0.85003,-1.11511,1
-1.30258,-1.44897,-1.10825,-0.96856,-0.74013,1
-1.18271,-1.38748,-1.06253,-0.86630,-0.24563,1
-1.23007,-1.41045,-1.18245,-0.96072,-0.26521,1
-1.10839,-1.50939,-0.97463,-1.11444,-0.08152,1
-0.16822,-0.15459,-0.03101,-0.17033,0.11954,1
-0.62259,-0.72596,-0.30560,-1.01232,-0.23560,1
-0.14121,-0.22213,-0.08878,-0.28450,0.03486,1
-0.24272,-0.31899,-0.23194,-0.28156,-0.10073,1
-1.49141,-2.20065,-1.36051,-1.80523,-1.47372,1
-0.02325,-0.02190,0.03086,-0.04388,0.12147,1
-0.64505,-0.48002,-0.41130,-0.42814,-0.35797,1
0.00850,0.10186,0.12616,-0.05941,0.24101,1
-0.85452,-0.79231,-0.61761,-0.15836,-0.74109,1
-0.31845,-0.24337,-0.12047,-0.00939,0.06126,1
-0.40425,-0.32588,-0.18166,-0.42437,-0.23495,1
0.18209,0.06440,0.17092,0.18560,0.23517,1
-0.30812,-0.31917,-0.20621,-0.33504,-0.19472,1
-0.31573,-0.19303,-0.15868,-0.33024,-0.11548,1
-1.45165,-1.76167,-1.37550,-1.52683,-1.51859,1
-0.56318,-0.38478,-0.24844,-0.27586,-0.14736,1
-1.59870,-1.97052,-1.39126,-0.78205,-1.76222,1
-0.18789,-0.14473,-0.14449,-0.18732,-0.01117,1
-0.46366,-0.43030,-0.30938,-0.68591,-0.17964,1
-0.02737,0.05810,0.07670,-0.14462,0.03947,1
0.09413,0.07643,0.09938,0.12869,0.22133,1
-0.62140,-0.31100,-0.29422,-0.25787,-0.17674,1
-0.25734,-0.12583,-0.10876,-0.14507,-0.00815,1
-0.52131,-0.48704,-0.27891,-0.30014,-0.16091,1
-0.40883,-0.28698,-0.22033,-0.68578,-0.13600,1
-1.40467,-1.90815,-1.54483,-1.15037,-1.86281,1
0.05273,0.08510,0.03492,0.05099,0.28017,1
-0.35519,-0.22869,-0.16144,-0.28849,-0.01550,1
-0.48414,-0.39535,-0.30675,-0.46790,-0.23159,1
-0.03792,-0.04753,0.01489,-0.11087,0.19853,1
-0.62881,-0.71227,-0.54661,-1.27906,-0.92671,1
-0.00036,0.03863,0.05065,0.18040,0.01646,1
-0.15152,-0.03592,-0.00029,-0.12970,0.35450,1
-0.45972,-0.44965,-0.34463,-0.43545,-0.41338,1
-0.19705,-0.07183,0.00098,-0.00887,0.35272,1
-0.33044,-0.28056,-0.13891,-0.24681,0.01106,1
-0.46969,-0.41361,-0.28806,-0.11743,-0.35785,1
-0.26963,-0.27276,-0.17306,-0.38683,-0.14827,1
-1.40457,-1.31241,-1.25948,-0.97309,-1.16772,1
-1.31830,-1.38220,-0.97284,-1.13686,-1.27167,1
-0.19554,-0.11475,-0.00028,-0.27279,0.08939,1
0.04341,0.01891,0.00779,-0.04732,0.05386,1
0.20238,0.21062,0.22791,0.14102,0.33935,1
-0.36884,-0.35822,-0.30963,-0.53808,-0.17270,1
0.25080,0.20448,0.24170,0.22219,0.39186,1
0.09493,0.14748,0.15950,0.03395,0.35452,1
-0.99940,-1.17743,-0.70587,-0.91876,-0.70205,1
0.10956,-0.04074,0.09250,0.00221,0.14764,1
-0.58686,-0.52274,-0.33349,-2.21300,-0.22531,1
-0.21504,-0.16248,-0.10642,-0.30144,0.04326,1
-0.18908,-0.07823,-0.08141,-0.20620,0.04249,1
-0.20780,-0.10924,-0.05823,-0.23292,0.10033,1
0.15920,0.24452,0.21100,0.06627,0.32182,1
0.17537,0.26824,0.26605,0.34317,0.25605,1
-1.38336,-1.70823,-1.18817,-1.86351,-1.74900,1
-0.98906,-1.00656,-0.78713,-1.45914,-0.90716,1
-0.02544,0.09068,0.00919,0.00401,-0.01907,1
-0.04512,-0.10921,-0.03370,-0.19639,-0.01616,1
-0.77555,-0.60503,-0.49011,-0.55716,-0.55570,1
0.02866,0.12169,0.10820,-0.02304,0.14598,1
0.21228,0.21114,0.24247,0.13904,0.37147,1
-0.02363,-0.01237,-0.02434,-0.10766,0.35874,1
0.12872,0.05940,0.13728,0.11997,0.26078,1
-0.26014,-0.18792,0.00242,0.04764,0.12292,1
0.12064,0.21203,0.16143,0.12245,0.33220,1
-0.26941,-0.13994,-0.11985,-0.24564,0.00907,1
-0.43188,-0.44650,-0.27433,-0.39576,-0.10840,1
-0.62420,-0.61983,-0.43400,-0.64180,-0.31045,1
-0.05991,0.09953,0.00406,-0.04418,0.07213,1
-0.51071,-0.35066,-0.30968,-0.48116,-0.22037,1
-0.57157,-0.59501,-0.38234,-0.28521,-0.21467,1
-0.60627,-0.50394,-0.35792,-0.43598,-0.24364,1
-1.20445,-1.49492,-0.95298,-1.61356,-1.02600,1
-0.70180,-0.74508,-0.53243,-0.70188,-0.32423,1
-0.24986,-0.21806,-0.21500,-0.40997,-0.07819,1
-1.18258,-0.98026,-0.88475,-0.27822,-0.72080,1
-0.14740,-0.09562,-0.06589,-0.01451,0.03923,1
-0.25169,-0.10148,-0.03808,-0.41152,0.20881,1
-0.58807,-0.49808,-0.43018,-0.51530,-0.36516,1
-0.09408,-0.19117,0.10620,0.06867,0.32853,1
-0.30262,-0.15141,-0.11233,-0.27027,-0.07372,1
-0.53276,-0.39816,-0.30799,-0.28982,-0.17368,1
-0.46429,-0.44881,-0.36880,-0.63713,-0.34075,1
-0.42282,-0.43687,-0.19538,-0.38675,-0.04113,1
0.22027,0.19731,0.25763,0.20811,0.33411,1
-0.66780,-0.59026,-0.40457,-0.35535,-0.42392,1
-0.52322,-0.40112,-0.28433,0.03047,-0.23966,1
-0.11232,-0.04061,-0.00195,-0.28174,0.21931,1
-0.21348,-0.15965,-0.09698,-0.21798,0.04369,1
-0.64992,-0.61548,-0.44455,-0.32825,-0.32807,1
-0.27239,-0.17892,-0.05574,-0.16401,-0.01891,1
-0.32626,-0.27448,-0.21873,-0.41074,-0.09682,1
-0.02428,0.05916,0.06540,0.06739,0.37378,1
-0.29345,-0.20730,-0.15337,-0.32697,0.03848,1
-1.44535,-1.65024,-1.20021,-2.07600,-1.61066,1
-0.17240,-0.07340,-0.03276,-0.08907,0.08048,1
-0.31809,-0.10235,-0.11450,-0.41408,-0.12585,1
-0.13955,-0.28408,-0.11529,-0.21361,-0.08180,1
0.06838,0.13661,0.13364,0.13552,0.33906,1
-0.82365,-0.63230,-0.51112,-0.43175,-0.77564,1
0.05475,0.00962,0.05649,0.00604,0.19924,1
0.19420,0.19171,0.19159,0.13285,0.32103,1
-0.49195,-0.46488,-0.40778,-0.52912,-0.29942,1
-0.56854,-0.77139,-0.26429,0.14331,-0.21220,1
-0.59674,-0.31814,-0.29480,-0.07013,0.31773,1
-0.92564,-1.08875,-0.85661,-2.14146,-0.65564,1
-0.06861,0.02278,0.03284,-0.02164,0.21288,1
-1.09005,-1.37189,-1.03201,-2.12411,-1.16244,1
-0.11870,-0.05223,0.03996,-0.01742,0.07280,1
-0.02499,0.00287,0.01942,-0.09204,0.13372,1
-0.71523,-0.23900,-0.46460,-0.82534,-0.38810,1
-0.56472,-0.35996,-0.35405,-0.70863,-0.33221,1
0.24883,0.28141,0.37139,0.29236,0.44452,1
-0.16928,-0.02259,0.00059,-1.07478,0.20137,1
