Name,Pop,Change
SCHLESWIG,1991,0.0081
TWO CREEKS,427,0.3333
TWO RIVERS,1782,0.0027
BERGEN,637,0.0207
BERLIN,942,0.0051
BERN,606,0.0000
BEVENT,1122,0.0022
BRIGHTON,611,0.0056
CASSEL,913,0.0064
CLEVELAND,1511,0.0069
DAY,1095,-0.0231
EASTON,1132,0.0034
EAU PLEINE,765,0.0079
ELDERON,620,0.0041
EMMET,937,0.0072
FRANKFORT,662,0.0000
FRANZEN,584,0.0062
GREEN VALLEY,550,0.0850
GUENTHER,346,0.0078
HALSEY,661,0.0124
HAMBURG,918,0.0048
HARRISON,372,-0.0000
HEWITT,614,-0.0000
HOLTON,884,0.0077
HULL,744,0.0187
JOHNSON,981,0.1735
KNOWLTON,1929,0.0027
MAINE,2345,0.0088
MARATHON,1051,-0.0000
MCMILLAN,2002,0.0659
MOSINEE,2189,0.0067
NORRIE,979,0.0072
PLOVER,682,0.0000
REID,1240,0.0000
RIB FALLS,997,0.3112
RIB MOUNTAIN,6900,0.0564
RIETBROCK,980,0.0000
RINGLE,1735,0.0213
SPENCER,1615,0.0085
STETTIN,2566,0.0059
TEXAS,1614,0.0046
WAUSAU,2249,0.0609
WESTON,655,0.0040
WIEN,851,-0.0000
AMBERG,734,0.0076
ATHELSTANE,509,0.0058
BEAVER,1162,0.0139
BEECHER,731,-0.0082
DUNBAR,744,0.0000
GOODMAN,620,0.0066
GROVER,1798,0.0067
LAKE,1162,0.0040
MIDDLE INLET,837,0.0060
NIAGARA,866,0.0064
PEMBINE,888,-0.1578
PESHTIGO,4098,0.0076
PORTERFIELD,1993,0.0056
POUND,1425,0.0088
SILVER CLIFF,503,0.0000
STEPHENSON,3066,0.0089
WAGNER,695,0.2348
WAUSAUKEE,1096,0.0061
BUFFALO,1240,0.0040
CRYSTAL LAKE,492,0.0018
DOUGLAS,726,0.0028
HARRIS,796,-0.0220
MECAN,689,-0.1881
MONTELLO,1035,0.0037
MOUNDVILLE,559,0.0263
NESHKORO,554,0.0025
NEWTON,547,0.0032
OXFORD,888,0.1245
PACKWAUKEE,1416,0.0000
SHIELDS,549,0.0049
SPRINGFIELD,833,0.0066
WESTFIELD,879,0.0047
ADRIAN,795,0.1515
ANGELO,1311,0.0023
BYRON,1358,0.0147
CLIFTON,699,0.0024
GLENDALE,688,0.0023
GRANT,503,0.0075
GREENFIELD,721,0.0074
JEFFERSON,854,0.0371
LA FAYETTE,405,0.0206
LA GRANGE,2011,0.0054
LEON,1134,0.0116
LINCOLN,846,0.0078
LITTLE FALLS,1571,0.0170
NEW LYME,174,0.0094
OAKDALE,793,0.0633
PORTLAND,834,0.0000
RIDGEVILLE,513,0.1369
SCOTT,134,-0.0000
SHELDON,752,0.0217
SPARTA,3180,0.0000
TOMAH,1433,0.0043
WELLINGTON,645,0.0095
WELLS,533,0.0200
WILTON,1047,0.0127
ABRAMS,1879,0.0088
BAGLEY,291,-0.0042
BRAZEAU,1299,0.0056
BREED,729,0.0066
CHASE,3086,0.0621
DOTY,260,0.0096
GILLETT,1028,0.0199
HOW,530,0.0071
LAKEWOOD,830,0.2392
LENA,721,0.0101
LITTLE RIVER,1100,0.0011
LITTLE SUAMICO,5015,0.0107
MAPLE VALLEY,667,0.0094
MORGAN,989,0.0049
MOUNTAIN,830,0.0007
OCONTO,1345,0.0093
OCONTO FALLS,1272,0.0041
PENSAUKEE,1390,0.0116
RIVERVIEW,732,0.0543
SPRUCE,841,0.0050
STILES,1508,0.0136
TOWNSEND,995,0.0606
UNDERHILL,892,0.0046
CASSIAN,991,0.0226
CRESCENT,2059,0.0054
ENTERPRISE,316,0.0011
HAZELHURST,1288,0.2706
LAKE TOMAHAWK,1033,0.0060
LITTLE RICE,315,0.0080
LYNNE,144,-0.0000
MINOCQUA,4482,0.0267
MONICO,306,0.0091
NEWBOLD,2744,0.0000
NOKOMIS,1429,0.0036
PELICAN,2810,0.0057
PIEHL,87,0.0000
PINE LAKE,2758,0.0052
SCHOEPKE,392,0.0712
STELLA,647,0.0052
SUGAR CAMP,1710,0.0000
THREE LAKES,2154,0.0038
WOODBORO,840,0.0048
WOODRUFF,2000,-0.0000
BLACK CREEK,1252,0.0197
BOVINA,1158,0.7801
BUCHANAN,6935,0.0057
CENTER,3463,0.0207
CICERO,1106,0.0006
DALE,2782,0.0175
DEER CREEK,649,0.0000
ELLINGTON,2898,0.0255
FREEDOM,5991,0.2414
GRAND CHUTE,21909,0.0122
GREENVILLE,11303,0.0451
HORTONIA,1094,0.0116
KAUKAUNA,1272,-0.0155
LIBERTY,871,0.2326
MAINE,878,0.0070
MAPLE CREEK,605,0.0000
ONEIDA,4711,0.0087
OSBORN,1196,0.0107
SEYMOUR,1202,0.0155
VANDENBROEK,1531,0.0354
BELGIUM,1428,0.0200
CEDARBURG,5875,0.0088
FREDONIA,2168,0.0059
GRAFTON,4124,-0.0558
PORT WASHINGTON,1661,0.0125
SAUKVILLE,1828,0.0036
ALBANY,670,-0.0000
DURAND,750,0.0071
FRANKFORT,352,0.0000
LIMA,686,0.0096
PEPIN,732,0.0155
STOCKHOLM,201,0.0001
WATERVILLE,831,0.0000
WAUBEEK,432,-0.1821
CLIFTON,2033,-0.0000
DIAMOND BLUFF,462,0.2972
ELLSWORTH,1166,0.0114
EL PASO,703,-0.0000
GILMAN,975,0.0143
HARTLAND,847,0.0067
ISABELLE,284,0.0065
MAIDEN ROCK,600,0.0100
MARTELL,1188,-0.0028
OAK GROVE,2176,0.0105
RIVER FALLS,2295,0.1546
ROCK ELM,489,0.0084
SALEM,516,0.0500
SPRING LAKE,572,0.0072
TRENTON,1837,0.0056
TRIMBELLE,1674,0.0004
UNION,593,0.0023
ALDEN,2792,0.0061
APPLE RIVER,1158,0.0026
BALSAM LAKE,1404,0.0056
BEAVER,838,0.0068
BLACK BROOK,1343,0.0053
BONE LAKE,722,0.0091
CLAM FALLS,612,0.0050
CLAYTON,988,0.0030
CLEAR LAKE,901,0.0788
EUREKA,1663,0.0054
FARMINGTON,1843,0.0134
GARFIELD,1695,0.0152
GEORGETOWN,988,0.3043
JOHNSTOWN,529,0.0033
LAKETOWN,969,0.0205
LINCOLN,2202,0.0088
LORAIN,277,0.2513
LUCK,911,-0.1195
MCKINLEY,352,-0.0000
MILLTOWN,1228,0.0200
OSCEOLA,2866,0.0056
SAINT CROIX FALLS,1159,0.0029
STERLING,775,-0.0000
WEST SWEDEN,691,0.0281
ALBAN,882,0.0374
ALMOND,674,0.0120
AMHERST,1336,0.0083
BELMONT,624,0.0084
BUENA VISTA,1204,0.0562
CARSON,1313,0.0380
DEWEY,939,0.0050
EAU PLEINE,949,0.0646
GRANT,1917,0.0042
HULL,5379,0.0233
LANARK,1548,0.0041
LINWOOD,1122,0.0084
NEW HOPE,710,-0.0000
PINE GROVE,935,0.0103
PLOVER,1724,0.0086
SHARON,2007,0.0256
STOCKTON,2987,0.0303
CATAWBA,268,-0.0000
EISENSTEIN,621,1.1066
ELK,999,-0.0000
EMERY,293,0.0091
FIFIELD,903,0.0025
FLAMBEAU,480,0.0150
GEORGETOWN,168,-0.0000
HACKETT,168,0.0084
HARMONY,225,0.0000
HILL,333,0.0105
KENNAN,351,0.3072
KNOX,345,0.0018
LAKE,1122,0.0048
OGEMA,718,0.2789
PRENTICE,474,0.0015
SPIRIT,274,0.0228
WORCESTER,1568,0.0098
BURLINGTON,6462,0.0241
DOVER,4065,0.0040
NORWAY,7958,0.0028
RAYMOND,3924,0.0178
WATERFORD,6350,0.0329
YORKVILLE,3092,0.0136
AKAN,399,0.0033
BLOOM,512,0.0235
BUENA VISTA,1888,0.0107
DAYTON,695,0.0020
EAGLE,525,0.0059
FOREST,352,0.0121
HENRIETTA,487,0.0012
ITHACA,630,0.0127
MARSHALL,573,0.0067
ORION,582,0.0434
RICHLAND,1358,0.0071
RICHWOOD,525,0.0048
ROCKBRIDGE,722,0.0103
SYLVAN,557,-0.0000
WESTFORD,527,nan
WILLOW,586,-0.0000
AVON,598,0.0260
BELOIT,7625,0.0614
BRADFORD,1090,0.0020
CENTER,1055,0.0048
CLINTON,936,0.0020
FULTON,3269,0.0204
HARMONY,2573,0.3987
JANESVILLE,3444,0.0012
JOHNSTOWN,769,0.0085
LA PRAIRIE,826,0.3754
LIMA,1274,0.1222
MAGNOLIA,755,0.0036
MILTON,2937,0.3050
NEWARK,1526,0.0104
PLYMOUTH,1171,0.0047
PORTER,955,-0.0000
ROCK,3183,0.0049
SPRING VALLEY,742,0.0079
TURTLE,2374,0.0176
UNION,2109,0.0025
ATLANTA,580,0.0011
BIG BEND,367,0.0107
BIG FALLS,141,0.0004
CEDAR RAPIDS,39,-0.3333
DEWEY,556,0.0085
FLAMBEAU,1070,1.3441
GRANT,817,-0.0000
GROW,421,0.0092
HAWKINS,160,0.0017
HUBBARD,200,0.0018
LAWRENCE,306,0.0088
MARSHALL,696,-0.0000
MURRY,279,0.0071
RICHLAND,233,0.0066
RUSK,549,-0.0000
SOUTH FORK,117,0.0017
STRICKLAND,290,0.0000
STUBBS,583,-0.4200
THORNAPPLE,790,0.0153
TRUE,296,0.0667
WASHINGTON,350,-0.0000
WILKINSON,40,0.0001
WILLARD,513,0.0137
WILSON,108,-0.0000
BALDWIN,920,0.0100
CADY,830,0.0070
CYLON,689,0.0189
EAU GALLE,1186,0.0249
EMERALD,838,-0.0000
ERIN PRAIRIE,679,0.0152
FOREST,630,0.0000
GLENWOOD,783,0.0962
HAMMOND,2143,0.0103
HUDSON,8571,0.0114
KINNICKINNIC,1755,0.0045
PLEASANT VALLEY,523,0.0050
RICHMOND,3397,0.0221
RUSH RIVER,500,0.0066
SAINT JOSEPH,3883,0.1088
SOMERSET,4120,0.0095
SPRINGFIELD,943,0.0035
STANTON,890,0.0011
STAR PRAIRIE,3524,0.1428
TROY,4948,0.0288
WARREN,1621,0.0953
BARABOO,1682,0.0174
BEAR CREEK,608,0.0427
DELLONA,1573,0.0077
DELTON,2408,0.0026
EXCELSIOR,1570,0.0048
FAIRFIELD,1069,0.0119
FRANKLIN,650,0.0055
FREEDOM,452,0.0754
GREENFIELD,939,0.0106
HONEY CREEK,730,0.0201
IRONTON,656,0.0052
LA VALLE,1326,0.0014
MERRIMAC,962,0.0120
PRAIRIE DU SAC,1129,-0.0000
REEDSBURG,1291,0.0085
SPRING GREEN,1701,0.3152
SUMPTER,1190,0.0199
TROY,800,0.0117
WASHINGTON,1012,0.0115
WESTFIELD,562,0.0019
WINFIELD,857,-0.0000
WOODLAND,803,0.0097
BASS LAKE,2406,0.1799
COUDERAY,405,2.9998
DRAPER,210,0.2135
EDGEWATER,532,0.0067
HAYWARD,3571,0.0159
HUNTER,685,0.0037
LENROOT,1319,0.3542
MEADOWBROOK,138,0.0070
METEOR,153,0.0041
OJIBWA,250,0.0024
RADISSON,402,0.8534
ROUND LAKE,994,-0.0162
SAND LAKE,820,0.1988
SPIDER LAKE,358,0.0056
WEIRGOR,329,0.0017
WINTER,969,0.0052
ALMON,581,-0.0000
ANGELICA,1812,0.0121
ANIWA,536,0.0068
BARTELME,807,-1.1053
BELLE PLAINE,1859,0.0056
BIRNAMWOOD,778,0.0083
FAIRBANKS,611,-0.0000
GERMANIA,324,0.0041
GRANT,984,0.0117
GREEN VALLEY,1091,0.0096
HARTLAND,902,0.0115
HERMAN,768,0.0020
HUTCHINS,593,-0.0000
LESSOR,1281,0.0101
MAPLE GROVE,957,-0.0000
MORRIS,453,0.0000
NAVARINO,443,0.0794
PELLA,871,0.0045
RED SPRINGS,936,0.0793
RICHMOND,1871,0.0150
SENECA,556,-0.0081
WASHINGTON,1912,0.0132
WAUKECHON,1044,0.0115
WESCOTT,3203,0.0027
WITTENBERG,826,0.0023
GREENBUSH,2555,0.0070
HERMAN,2162,0.0023
HOLLAND,2248,0.0809
LIMA,2985,0.0118
LYNDON,1547,0.0879
MITCHELL,1308,0.0337
MOSEL,782,0.0140
PLYMOUTH,3196,0.0042
RHINE,2125,0.0000
RUSSELL,370,0.0210
SCOTT,1824,0.0631
SHEBOYGAN,7439,0.0316
SHEBOYGAN FALLS,1719,-0.0000
SHERMAN,1496,0.0021
WILSON,3358,0.0543
AURORA,428,-0.0000
BROWNING,918,0.0037
CHELSEA,812,0.0074
CLEVELAND,263,0.0065
DEER CREEK,768,0.0059
FORD,268,0.0264
GOODRICH,514,0.0096
GREENWOOD,639,0.0106
GROVER,257,0.0138
HAMMEL,719,0.0454
HOLWAY,963,0.0087
JUMP RIVER,367,0.0039
LITTLE BLACK,1148,0.0038
MAPLEHURST,332,-0.0000
MCKINLEY,454,0.0058
MEDFORD,2650,0.0029
MOLITOR,327,0.0077
PERSHING,176,0.0263
RIB LAKE,862,0.0025
ROOSEVELT,467,0.0099
TAFT,423,0.0187
WESTBORO,694,0.0028
ALBION,665,0.0150
ARCADIA,1815,0.0745
BURNSIDE,509,0.0067
CALEDONIA,934,0.0107
CHIMNEY ROCK,234,0.0020
DODGE,389,0.1562
ETTRICK,1248,0.0673
GALE,1740,0.0132
HALE,1051,0.0210
LINCOLN,854,0.0064
PIGEON,902,0.0013
PRESTON,971,0.0051
SUMNER,817,-0.0885
TREMPEALEAU,1800,0.0091
UNITY,505,0.0096
BERGEN,1362,0.0148
CHRISTIANA,938,0.0142
CLINTON,1386,-0.0000
COON,741,-0.0002
FOREST,645,-0.0000
FRANKLIN,1176,0.2365
GENOA,805,0.0114
GREENWOOD,843,0.0133
HAMBURG,980,0.0000
HARMONY,784,0.0233
HILLSBORO,817,0.0212
JEFFERSON,1146,0.0318
KICKAPOO,645,0.0094
LIBERTY,263,-0.0679
STARK,369,0.0046
STERLING,622,0.3150
UNION,713,0.0997
VIROQUA,1747,0.2687
WEBSTER,807,0.2204
WHEATLAND,575,0.0048
WHITESTOWN,513,0.0077
ARBOR VITAE,3331,-0.0016
BOULDER JUNCTION,946,0.0179
CLOVERLAND,1036,0.0059
CONOVER,1238,0.0025
LAC DU FLAMBEAU,3466,0.0000
LAND O LAKES,871,0.0007
LINCOLN,2447,0.0313
MANITOWISH WATERS,583,0.0000
PHELPS,1238,0.1335
PLUM LAKE,496,0.1699
PRESQUE ISLE,632,0.0041
SAINT GERMAIN,2072,-0.0000
WASHINGTON,1469,-0.0810
WINCHESTER,388,0.0075
BLOOMFIELD,1600,0.0788
DARIEN,1698,0.0051
DELAVAN,5250,0.0416
EAST TROY,4044,0.0643
GENEVA,5017,0.0909
LA FAYETTE,1965,0.0049
LA GRANGE,2459,0.0184
LINN,2402,0.0037
LYONS,3696,-0.0000
RICHMOND,1886,0.0097
SHARON,898,0.3426
SPRING PRAIRIE,2176,-0.0185
SUGAR CREEK,3935,0.0678
TROY,2352,0.0011
WALWORTH,1692,0.0389
WHITEWATER,1485,0.0029
BARRONETT,441,0.0085
BASHAW,957,0.7775
BASS LAKE,517,-0.0000
BEAVER BROOK,719,2.3614
BIRCHWOOD,484,0.1675
BROOKLYN,256,0.0221
CASEY,358,0.0000
CHICOG,228,0.0000
CRYSTAL,264,0.0085
EVERGREEN,1133,0.0503
FROG CREEK,130,0.0030
GULL LAKE,188,0.0041
LONG LAKE,629,0.0003
MADGE,515,0.0037
MINONG,935,0.0015
SARONA,383,-0.0130
SPOONER,718,0.0125
SPRINGBROOK,437,-0.0000
STINNETT,238,-0.6250
STONE LAKE,507,0.2936
TREGO,943,0.0084
ADDISON,3459,0.0005
BARTON,2638,0.0069
ERIN,3762,0.0000
FARMINGTON,4034,0.0068
GERMANTOWN,248,0.0507
HARTFORD,3587,0.0019
JACKSON,4340,0.0227
KEWASKUM,1053,-0.0000
POLK,3979,0.6013
TRENTON,4743,0.0081
WAYNE,2185,0.0066
WEST BEND,4777,0.0391
BROOKFIELD,6049,0.0000
DELAFIELD,8227,-0.0149
EAGLE,3507,-0.0074
GENESEE,7348,0.1346
LISBON,10250,0.0251
MERTON,8402,0.0199
MUKWONAGO,8020,0.0063
OCONOMOWOC,8609,0.0467
OTTAWA,3880,0.0042
VERNON,7632,0.0175
WAUKESHA,9170,0.0000
BEAR CREEK,819,0.0129
CALEDONIA,1658,-0.0159
DAYTON,2757,0.0018
DUPONT,734,0.0038
FARMINGTON,4009,0.0000
FREMONT,590,0.0084
HARRISON,471,-0.0000
HELVETIA,631,0.0100
IOLA,984,0.0060
LARRABEE,1379,0.0062
LEBANON,1680,0.0108
LIND,1598,0.0078
LITTLE WOLF,1428,0.0089
MATTESON,925,0.0059
MUKWA,2965,0.9776
ROYALTON,1442,0.0100
SAINT LAWRENCE,705,0.0043
SCANDINAVIA,1069,-0.0000
UNION,808,0.0051
WAUPACA,1189,0.0000
WEYAUWEGA,567,0.0020
WYOMING,311,-0.1463
AURORA,998,0.2581
BLOOMFIELD,1071,0.0058
COLOMA,747,-0.0000
DAKOTA,1236,0.0073
DEERFIELD,755,0.0065
HANCOCK,533,0.1617
LEON,1431,0.0055
MARION,2042,-0.0000
MOUNT MORRIS,1110,0.0000
OASIS,397,0.0022
PLAINFIELD,546,0.0068
POY SIPPI,921,0.0111
RICHFORD,633,0.0069
ROSE,649,0.0040
SAXEVILLE,989,0.0066
SPRINGWATER,1280,0.0046
WARREN,667,0.0043
WAUTOMA,1276,-0.0010
ALGOMA,6957,0.0123
BLACK WOLF,2437,0.0000
CLAYTON,4053,0.1489
MENASHA,18665,0.0168
NEENAH,3492,0.0139
NEKIMI,1423,0.0446
NEPEUSKUN,733,0.0207
OMRO,2142,0.0124
OSHKOSH,2477,0.0177
POYGAN,1304,0.0060
RUSHFORD,1578,0.0071
UTICA,1317,0.0052
VINLAND,1749,-0.0662
WINCHESTER,1774,0.1607
WINNECONNE,2382,0.0060
WOLF RIVER,1197,0.0599
ARPIN,949,0.0049
AUBURNDALE,843,0.0393
CAMERON,483,0.0101
CARY,425,0.0000
CRANMOOR,162,0.0027
DEXTER,356,0.0078
GRAND RAPIDS,7699,0.0005
HANSEN,683,0.0140
HILES,164,0.0061
LINCOLN,1572,0.0089
MARSHFIELD,777,0.0039
MILLADORE,684,-0.0576
PORT EDWARDS,1420,0.5032
REMINGTON,257,-0.0003
RICHFIELD,1622,0.0079
ROCK,858,0.0139
RUDOLPH,1029,0.0112
SARATOGA,5178,0.0132
SENECA,1117,0.0202
SHERRY,810,0.0039
SIGEL,1052,0.0161
WOOD,787,0.0144
MENOMINEE,4244,0.0255
STATE TOTALS,5753324,0.0221
